Hospital ID,Hospital,Year,Salaries,Employee Benefits,Salaries & Benefits,Supplies,Insurance,Professional Fees,Total Operating Expense,Total Operating Revenue,Net Patient Revenue,Other Operating Revenue,Operating Income,Net Income,Salaries & Benefits %,Insurance %,Supplies %,Professional Fees %,Salary YoY Growth,Insurance YoY Growth,Revenue YoY Growth
106190315,GARFIELD MEDICAL CENTER,2020,72265486,28110704,100376190,31589961,1655925,1830415,286135318,294543840,289414220,5129620,8408522,10112426,35.08,0.58,11.04,0.64,,,
106190315,GARFIELD MEDICAL CENTER,2021,69877789,24334488,94212277,34355422,2324653,1042867,290982301,289334575,285647016,3687559,-1647726,-1054165,32.38,0.8,11.81,0.36,-6.14,40.38,-1.77
106190315,GARFIELD MEDICAL CENTER,2022,74341342,23301047,97642389,36263566,2612845,1354777,300232662,302625422,301674777,950645,2392760,3222322,32.52,0.87,12.08,0.45,3.64,12.4,4.59
106190315,GARFIELD MEDICAL CENTER,2023,74304655,28004387,102309042,34783486,2731162,1167322,313555539,309080448,306364602,2715846,-4475091,-2517855,32.63,0.87,11.09,0.37,4.78,4.53,2.13
106190315,GARFIELD MEDICAL CENTER,2024,78556317,27003579,105559896,38892782,2507468,6129422,330845801,311478046,310371864,1106182,-19367755,-14184555,31.91,0.76,11.76,1.85,3.18,-8.19,0.78
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,2020,16111500,4482516,20594016,1751099,155416,1633897,31626132,30972511,30621203,351308,-653621,-291845,65.12,0.49,5.54,5.17,,,
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,2021,18056262,4924014,22980276,1632232,161588,1692319,34726054,34853519,34224690,628829,127465,1288036,66.18,0.47,4.7,4.87,11.59,3.97,12.53
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,2022,18873573,5046821,23920394,1772011,60472,1087260,35942306,34010106,33964211,45895,-1932200,106328,66.55,0.17,4.93,3.03,4.09,-62.58,-2.42
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,2023,21429899,5562827,26992726,2095273,60472,1396993,41198782,38827802,38778681,49121,-2370980,1550980,65.52,0.15,5.09,3.39,12.84,0.0,14.17
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,2024,25587265,5664044,31251309,2209023,60472,2131982,46832526,50232793,50189386,43407,3400267,8459144,66.73,0.13,4.72,4.55,15.78,0.0,29.37
106190323,ADVENTIST HEALTH GLENDALE,2020,145717357,60197799,205915156,73226702,2015028,12030985,508407915,521913259,437143459,84769800,13505344,8797056,40.5,0.4,14.4,2.37,,,
106190323,ADVENTIST HEALTH GLENDALE,2021,154376774,61841054,216217828,79983264,2390833,29926232,536212249,493867114,485170098,8697016,-42345135,-46121947,40.32,0.45,14.92,5.58,5.0,18.65,-5.37
106190323,ADVENTIST HEALTH GLENDALE,2022,151416526,63732412,215148938,71282874,2920135,16878120,522740571,485961613,478517430,7444183,-36778958,-36831294,41.16,0.56,13.64,3.23,-0.49,22.14,-1.6
106190323,ADVENTIST HEALTH GLENDALE,2023,174684062,68979228,243663290,83389765,4020743,28031677,567758010,544518802,537871255,6647547,-23239208,-21897044,42.92,0.71,14.69,4.94,13.25,37.69,12.05
106190323,ADVENTIST HEALTH GLENDALE,2024,190712332,82187425,272899757,87586255,6591949,17020237,615072638,572818602,563092249,9726353,-42254036,-44826471,44.37,1.07,14.24,2.77,12.0,63.95,5.2
106190328,GLENDORA OAKS BEHAVIORAL HEALTH HOSPITAL,2020,4867499,1457124,6324623,595218,246313,1650,12189072,7317388,7286712,30676,-4871684,-35502282,51.89,2.02,4.88,0.01,,,
106190328,GLENDORA HOSPITAL,2022,8865831,2251177,11117008,745687,214787,162388,17142484,15855549,15833140,22409,-1286935,917298,64.85,1.25,4.35,0.95,75.77,-12.8,116.68
106190328,GLENDORA HOSPITAL,2023,11112773,3080179,14192952,899108,238572,90435,21219754,23385433,23350563,34870,2165679,1871351,66.89,1.12,4.24,0.43,27.67,11.07,47.49
106190328,GLENDORA HOSPITAL,2024,12391320,3464868,15856188,935179,283218,118119,23941490,25817460,25776605,40855,1875970,1934735,66.23,1.18,3.91,0.49,11.72,18.71,10.4
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,2020,21825624,9918016,31743640,4739630,523400,671620,67811723,74313233,74240390,72843,6501510,8598510,46.81,0.77,6.99,0.99,,,
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,2021,22831731,7378375,30210106,3749245,554106,460115,65038806,67261563,67150376,111187,2222757,3293527,46.45,0.85,5.76,0.71,-4.83,5.87,-9.49
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,2022,19864605,8785339,28649944,3314060,589702,172746,61241321,69362488,69272354,90134,8121167,8797676,46.78,0.96,5.41,0.28,-5.16,6.42,3.12
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,2023,23134157,8934101,32068258,3442551,592789,315097,64934495,62695096,62039889,655207,-2239399,-1912460,49.39,0.91,5.3,0.49,11.93,0.52,-9.61
106190352,GREATER EL MONTE COMMUNITY HOSPITAL,2024,24430513,7281229,31711742,3503208,565203,1339699,69171408,62650052,62563901,86151,-6521356,-5888191,45.85,0.82,5.06,1.94,-1.11,-4.65,-0.07
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,2020,101848825,26205907,128054732,21116750,2957423,11245373,358549009,335174327,318269638,16904689,-23374682,-23374682,35.71,0.82,5.89,3.14,,,
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,2021,109231913,25259320,134491233,27627532,2518053,15826359,383256550,340837280,339329976,1507304,-42419270,-42361803,35.09,0.66,7.21,4.13,5.03,-14.86,1.69
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,2022,112691670,31419668,144111338,29908910,3546721,38862933,455387800,425812298,424666473,1145825,-29575502,-29573850,31.65,0.78,6.57,8.53,7.15,40.85,24.93
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,2023,117679680,30501302,148180982,29125737,1852539,37814656,490928316,452053226,450703244,1349982,-38875090,-38875046,30.18,0.38,5.93,7.7,2.82,-47.77,6.16
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,2024,136270116,35573315,171843431,29574015,1012,25049075,509081384,506931174,505792848,1138326,-2150210,-2167402,33.76,0.0,5.81,4.92,15.97,-99.95,12.14
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,2020,126579172,23723406,150302578,41447194,2031707,29381836,398736581,411259678,392552888,18706790,12523097,9556415,37.69,0.51,10.39,7.37,,,
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,2021,131246641,20952235,152198876,41742089,1302644,44715140,427971393,450755238,431949794,18805444,22783845,18148088,35.56,0.3,9.75,10.45,1.26,-35.88,9.6
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,2022,135986183,25578487,161564670,40817225,2473879,38835251,461333991,453430231,446327908,7102323,-7903760,-4780912,35.02,0.54,8.85,8.42,6.15,89.91,0.59
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,2023,142545976,25255124,167801100,42814828,4961802,35684094,484870262,481770212,475305584,6464628,-3100050,-548812,34.61,1.02,8.83,7.36,3.86,100.57,6.25
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,2024,145508674,25221977,170730651,49827547,4378967,37914596,523236499,505929112,500472918,5456194,-17307387,-13624396,32.63,0.84,9.52,7.25,1.75,-11.75,5.01
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,2020,154155087,68144106,222299193,66919225,7321278,10576474,490793772,615405073,548138953,67266120,124611301,131944137,45.29,1.49,13.63,2.15,,,
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,2021,156751915,69013319,225765234,70816547,8641279,16328295,500536997,561599872,557556321,4043551,61062875,68292038,45.1,1.73,14.15,3.26,1.56,18.03,-8.74
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,2022,162478964,69972428,232451392,80236170,2416046,20960558,628962063,560548332,555765692,4782640,-68413731,-69823647,36.96,0.38,12.76,3.33,2.96,-72.04,-0.19
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,2023,177734344,79645298,257379642,84311497,3806907,17949993,651723808,623469056,612172715,11296341,-28254752,-23304587,39.49,0.58,12.94,2.75,10.72,57.57,11.22
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,2024,188232141,86199584,274431725,87453891,2771130,8055546,614110555,647330007,631826328,15503679,33219452,48925257,44.69,0.45,14.24,1.31,6.63,-27.21,3.83
106190392,GOOD SAMARITAN HOSPITAL - LA,2021,153542517,32127077,185669594,83973414,1708022,43723891,450452173,417148278,396982349,20165929,-33303895,-21787312,41.22,0.38,18.64,9.71,,,
106190392,GOOD SAMARITAN HOSPITAL - LA,2022,149440803,31950967,181391770,77280329,292487,37428255,424682391,391137927,383898032,7239895,-33544464,-40083148,42.71,0.07,18.2,8.81,-2.3,-82.88,-6.24
106190392,PIH HEALTH GOOD SAMARITAN HOSPITAL,2023,140464123,31677267,172141390,60903271,1034210,29517367,394026603,351148481,341660828,9487653,-42878122,-27151803,43.69,0.26,15.46,7.49,-5.1,253.59,-10.22
106190392,PIH HEALTH GOOD SAMARITAN HOSPITAL,2024,138975672,37527908,176503580,58294024,2191162,25206676,405871102,374441861,359485334,14956527,-31429241,-7824110,43.49,0.54,14.36,6.21,2.53,111.87,6.63
106190400,HUNTINGTON MEMORIAL HOSPITAL,2020,260514018,116992219,377506237,128246484,2257163,32765063,731988111,683406517,604867588,78538929,-48581594,-17871868,51.57,0.31,17.52,4.48,,,
106190400,HUNTINGTON HOSPITAL,2021,278502119,117445664,395947783,138799188,7545531,34726355,774001784,704702741,682956357,21746384,-69299043,-39283827,51.16,0.97,17.93,4.49,4.89,234.29,3.12
106190400,HUNTINGTON HOSPITAL,2023,286699354,113235558,399934912,131602052,5094924,51719328,799115891,713826381,687662173,26164208,-85289510,-65867052,50.05,0.64,16.47,6.47,1.01,-32.48,1.29
106190400,HUNTINGTON HOSPITAL,2024,292142519,118701733,410844252,142236563,4590844,26028988,854388792,808548379,781585932,26962447,-45840413,-12147540,48.09,0.54,16.65,3.05,2.73,-9.89,13.27
106190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,2023,182861017,63301451,246162468,77774902,1937225,24342184,545470691,549187741,519685062,29502679,3717050,14071921,45.13,0.36,14.26,4.46,,,
106190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,2024,205630787,66579593,272210380,89608305,2250757,18854793,604879192,617120995,598429405,18691590,12241803,20059156,45.0,0.37,14.81,3.12,10.58,16.18,12.37
106190422,TORRANCE MEMORIAL MEDICAL CENTER,2020,260148778,100867486,361016264,127657963,1523579,13882361,680052508,698895300,640424888,58470412,18842792,23428857,53.09,0.22,18.77,2.04,,,
106190422,TORRANCE MEMORIAL MEDICAL CENTER,2021,271629298,113501768,385131066,134349157,1989353,13821248,711575136,724616204,684091315,40524889,13041068,76661713,54.12,0.28,18.88,1.94,6.68,30.57,3.68
106190422,TORRANCE MEMORIAL MEDICAL CENTER,2022,290385456,115329911,405715367,151742648,2903233,40642974,768685392,807661731,763705060,43956671,38976339,18527988,52.78,0.38,19.74,5.29,5.34,45.94,11.46
106190422,TORRANCE MEMORIAL MEDICAL CENTER,2023,315052877,124903878,439956755,149926521,3107069,33587441,789946478,826323251,790584351,35738900,36376773,60659760,55.69,0.39,18.98,4.25,8.44,7.02,2.31
106190422,TORRANCE MEMORIAL MEDICAL CENTER,2024,337885527,130931478,468817005,164293635,6114693,22259020,886471169,878812001,846486444,32325557,-7659168,50847104,52.89,0.69,18.53,2.51,6.56,96.8,6.35
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,2020,0,0,0,0,2157460,0,0,0,0,0,0,0,,,,,,,
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,2021,290293435,127785663,418079098,121750344,2330577,41046790,1215281570,1422984669,1356117653,66867016,207703099,208064597,34.4,0.19,10.02,3.38,,8.02,
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,2022,304963893,130137896,435101789,133081473,1902008,96580592,1244725813,1372080694,1294561661,77519033,127354881,121756109,34.96,0.15,10.69,7.76,4.07,-18.39,-3.58
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,2023,308128862,133904049,442032911,134292495,2922161,57980922,1188124921,1379468454,1293388620,86079834,191343533,191748191,37.2,0.25,11.3,4.88,1.59,53.64,0.54
106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,2024,336710940,148743233,485454173,128720115,3434779,38819950,1275872199,1503656101,1386748659,116907442,227783902,228744721,38.05,0.27,10.09,3.04,9.82,17.54,9.0
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,2020,0,0,0,0,743773,0,0,0,0,0,0,0,,,,,,,
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,2021,122671902,54869110,177541012,58340633,998592,29218044,603651574,614199556,553948821,60250735,10547982,10625905,29.41,0.17,9.66,4.84,,34.26,
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,2022,123205770,55613087,178818857,58701424,943984,53208699,621147759,621624676,556518190,65106486,476917,530821,28.79,0.15,9.45,8.57,0.72,-5.47,1.21
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,2023,136433104,60466475,196899579,66068875,2614799,37855278,631333639,665557661,600729809,64827852,34224022,34278193,31.19,0.41,10.46,6.0,10.11,177.0,7.07
106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,2024,153106875,68980510,222087385,64069251,1743465,15572365,681596811,724044601,650410398,73634203,42447790,42528940,32.58,0.26,9.4,2.28,12.79,-33.32,8.79
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,2020,0,0,0,0,776309,0,0,0,0,0,0,0,,,,,,,
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,2021,109275579,49158434,158434013,42796611,882622,29312991,536166686,548313835,483461735,64852100,12147149,12289413,29.55,0.16,7.98,5.47,,13.69,
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,2022,111063615,50250448,161314063,45403311,1103687,30459509,531392347,513247171,448895118,64352053,-18145176,-18078382,30.36,0.21,8.54,5.73,1.82,25.05,-6.4
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,2023,120820996,53798462,174619458,47062779,1794827,15936377,535036926,550259822,478393681,71866141,15222896,15390474,32.64,0.34,8.8,2.98,8.25,62.62,7.21
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,2024,133394566,59919843,193314409,47070932,1748168,5854875,601614330,646550557,555514712,91035845,44936227,45105295,32.13,0.29,7.82,0.97,10.71,-2.6,17.5
106190434,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,2020,0,0,0,0,949564,0,0,0,0,0,0,0,,,,,,,
106190434,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,2021,106238764,47500316,153739080,45444913,1043215,20942814,549484860,551488434,486218968,65269466,2003574,1930194,27.98,0.19,8.27,3.81,,9.86,
106190434,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,2022,101421942,45565480,146987422,45856381,914937,53639056,567510928,544628812,480026548,64602264,-22882116,-23362886,25.9,0.16,8.08,9.45,-4.39,-12.3,-1.24
106190434,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,2023,110222089,48564704,158786793,48548475,1141391,46261895,584820701,579752115,510644236,69107879,-5068586,-5022375,27.15,0.2,8.3,7.91,8.03,24.75,6.45
106190434,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,2024,124055445,55584599,179640044,52107526,1466864,25545421,644708708,647861298,560763982,87097316,3152590,3176571,27.86,0.23,8.08,3.96,13.13,28.52,11.75
106190449,KINDRED HOSPITAL - LA MIRADA,2020,40311632,12555004,52866636,9916985,2459538,670356,95327513,105717895,105353223,364672,10390382,10468214,55.46,2.58,10.4,0.7,,,
106190449,KINDRED HOSPITAL - LA MIRADA,2021,39342743,12555733,51898476,9998572,2024449,409340,96025143,99868063,99295443,572620,3842920,4078583,54.05,2.11,10.41,0.43,-1.83,-17.69,-5.53
106190449,KINDRED HOSPITAL - LA MIRADA,2022,42878334,11880485,54758819,10116611,1338820,5776423,101073501,99444159,99051584,392575,-1629342,-1448353,54.18,1.32,10.01,5.72,5.51,-33.87,-0.42
106190449,KINDRED HOSPITAL - LA MIRADA,2023,43491616,12151767,55643383,9034226,1724381,8666259,106545289,95221535,94780746,440789,-11323754,-11233256,52.23,1.62,8.48,8.13,1.62,28.8,-4.25
106190449,KINDRED HOSPITAL - LA MIRADA,2024,50182882,13859289,64042171,10316692,1075508,3806269,110819141,113796539,113326145,470394,2977398,3520044,57.79,0.97,9.31,3.43,15.09,-37.63,19.51
106190462,AURORA LAS ENCINAS HOSPITAL,2020,15904246,3145099,19049345,1330051,186148,320826,30728296,32159126,31463354,695772,1430830,1430830,61.99,0.61,4.33,1.04,,,
106190462,AURORA LAS ENCINAS HOSPITAL,2021,16216692,2941291,19157983,1147018,254834,993495,31661458,33959414,33946769,12645,2297956,2302090,60.51,0.8,3.62,3.14,0.57,36.9,5.6
106190462,AURORA LAS ENCINAS HOSPITAL,2022,16943053,3281837,20224890,1114475,242865,991247,32915988,34203221,34180440,22781,1287233,1287233,61.44,0.74,3.39,3.01,5.57,-4.7,0.72
106190462,AURORA LAS ENCINAS HOSPITAL,2023,18278944,2929996,21208940,1488760,320466,590481,34197873,39607025,39345778,261247,5409152,5409152,62.02,0.94,4.35,1.73,4.87,31.95,15.8
106190462,AURORA LAS ENCINAS HOSPITAL,2024,19080346,3459978,22540324,1501698,371243,3407837,39018811,43375014,43283585,91429,4356203,4356201,57.77,0.95,3.85,8.73,6.28,15.84,9.51
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,2020,138428161,64394003,202822164,66282467,2128884,18123487,441367555,487683568,436379185,51304383,46316013,49042426,45.95,0.48,15.02,4.11,,,
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,2021,138113077,62288564,200401641,72208758,4515268,25269190,450930863,453386611,448717699,4668912,2455748,-3921384,44.44,1.0,16.01,5.6,-1.19,112.1,-7.03
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,2022,150909507,69215208,220124715,74171024,3326746,37352115,570223213,457691629,454320636,3370993,-112531584,-102362062,38.6,0.58,13.01,6.55,9.84,-26.32,0.95
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,2023,163381548,70768765,234150313,85818334,5607894,42904503,607374965,517085982,500196137,16889845,-90288983,-81299647,38.55,0.92,14.13,7.06,6.37,68.57,12.98
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,2024,179819716,78681428,258501144,89283182,1009447,18054904,577571256,542763550,536884338,5879212,-34807706,-26329955,44.76,0.17,15.46,3.13,10.4,-82.0,4.97
106190475,COMMUNITY HOSPITAL LONG BEACH,2021,15221416,3271132,18492548,2544621,1151105,5268002,34776164,8603040,8603040,0,-26173124,-25804944,53.18,3.31,7.32,15.15,,,
106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,2020,53925305,23417814,77343119,23699828,0,5265754,133980299,136116107,131327127,4788980,2135808,381846,57.73,0.0,17.69,3.93,,,
106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,2021,55652450,24991077,80643527,24195057,0,16412397,153207588,139933344,126687895,13245449,-13274244,-13274330,52.64,0.0,15.79,10.71,4.27,,2.8
106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,2022,64518855,22670007,87188862,27819397,185999,25386668,164431559,146896148,140941243,5954905,-17535411,-17488390,53.02,0.11,16.92,15.44,8.12,,4.98
106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,2023,66043863,24895486,90939349,29995755,276945,21987429,171398849,151468205,149547053,1921152,-19930644,-19294597,53.06,0.16,17.5,12.83,4.3,48.9,3.11
106190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,2024,76763097,30525148,107288245,30901345,66507,6490781,186105823,167677382,166042138,1635244,-18428441,-14624308,57.65,0.04,16.6,3.49,17.98,-75.99,10.7
106190517,PROVIDENCE TARZANA MEDICAL CENTER,2021,100513477,41622382,142135859,47557168,2661327,10509141,301643448,292360588,291912007,448581,-9282860,297665,47.12,0.88,15.77,3.48,,,
106190517,PROVIDENCE TARZANA MEDICAL CENTER,2022,109803137,42728860,152531997,50560422,4471454,16372562,391007536,299660171,292748434,6911737,-91347365,-94100679,39.01,1.14,12.93,4.19,7.31,68.02,2.5
106190517,PROVIDENCE TARZANA MEDICAL CENTER,2023,120232525,45468883,165701408,52202539,5446760,11215875,370057591,321247174,318367836,2879338,-48810417,-42970016,44.78,1.47,14.11,3.03,8.63,21.81,7.2
106190517,PROVIDENCE TARZANA MEDICAL CENTER,2024,137791199,31975670,169766869,55138995,2907496,8359796,470139656,355558227,344958824,10599403,-114581429,-106435817,36.11,0.62,11.73,1.78,2.45,-46.62,10.68
106190521,MEMORIAL HOSPITAL OF GARDENA,2020,47339394,12901773,60241167,12302011,326197,4806723,140679273,184625799,175545914,9079885,43946526,43946526,42.82,0.23,8.74,3.42,,,
106190521,MEMORIAL HOSPITAL OF GARDENA,2021,49476578,14478253,63954831,14048366,571676,12353371,163960024,186512205,177623367,8888838,22552181,22218236,39.01,0.35,8.57,7.53,6.16,75.25,1.02
106190521,MEMORIAL HOSPITAL OF GARDENA,2022,50231338,14629066,64860404,14129852,1515507,17760294,187685511,184442050,182078295,2363755,-3243461,-3876099,34.56,0.81,7.53,9.46,1.42,165.1,-1.11
106190521,MEMORIAL HOSPITAL OF GARDENA,2023,43371653,12929253,56300906,13405509,597143,17241727,180908590,193328387,191954516,1373871,12419797,27386522,31.12,0.33,7.41,9.53,-13.2,-60.6,4.82
106190521,MEMORIAL HOSPITAL OF GARDENA,2024,46060442,13743403,59803845,12472021,944219,14931370,184828744,206575324,206257202,318122,21746580,20268818,32.36,0.51,6.75,8.08,6.22,58.12,6.85
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,2020,72851415,35199683,108051098,23559509,1758618,7822017,248896535,222796655,216052649,6744006,-26099880,12551430,43.41,0.71,9.47,3.14,,,
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,2021,76516336,39231281,115747617,28571454,2923057,12100428,265497247,231663228,217808469,13854759,-33834019,-32536783,43.6,1.1,10.76,4.56,7.12,66.21,3.98
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,2022,78658086,40234775,118892861,29832761,1818223,14022394,265960870,211810365,209142427,2667938,-54150505,-49803599,44.7,0.68,11.22,5.27,2.72,-37.8,-8.57
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,2023,86746109,44081279,130827388,34631684,3100160,25725009,316158160,282210517,274916021,7294496,-33947643,-31333000,41.38,0.98,10.95,8.14,10.04,70.5,33.24
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR,2024,92682142,44679524,137361666,30558636,3101221,16723573,336596025,292798193,290608095,2190098,-43797832,-41785920,40.81,0.92,9.08,4.97,4.99,0.03,3.75
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,2020,52047094,12743573,64790667,22640968,1713258,16199813,190332272,181851793,170443922,11407871,-8480479,-6888480,34.04,0.9,11.9,8.51,,,
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,2021,56498603,14291239,70789842,22904417,1944124,21449984,174078466,160759107,156974546,3784561,-13319359,-13299550,40.67,1.12,13.16,12.32,9.26,13.48,-11.6
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,2022,57563602,14202011,71765613,22394228,2673086,22688376,177254202,167551274,158626374,8924900,-9702928,-9715420,40.49,1.51,12.63,12.8,1.38,37.5,4.23
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,2023,54846962,13402497,68249459,19407801,3448819,11169086,164671257,160268810,158967847,1300963,-4402447,-4416640,41.45,2.09,11.79,6.78,-4.9,29.02,-4.35
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA,2024,60966195,14331676,75297871,21423667,3861304,7191678,194186710,181636140,175648480,5987660,-12550570,-12229608,38.78,1.99,11.03,3.7,10.33,11.96,13.33
106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,2020,206697705,87386630,294084335,121057123,7618137,31546802,680936609,743663949,718259792,25404157,62727340,46560594,43.19,1.12,17.78,4.63,,,
106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,2021,215326183,85544774,300870957,132355509,15280052,42494764,684990799,771820879,732559242,39261637,86830080,74319634,43.92,2.23,19.32,6.2,2.31,100.57,3.79
106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,2022,216655427,89609229,306264656,136447579,0,53823231,695497522,759318689,739515340,19803349,63821167,48983873,44.04,0.0,19.62,7.74,1.79,-100.0,-1.62
106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,2023,236717397,101679696,338397093,143029848,83120,79496656,769984639,741380932,707420643,33960289,-28603707,-34540136,43.95,0.01,18.58,10.32,10.49,,-2.36
106190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,2024,258809006,99664836,358473842,146764825,5603152,47676478,792990187,844517287,825365493,19151794,51527100,41106843,45.21,0.71,18.51,6.01,5.93,6641.04,13.91
106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,2020,112346129,20779220,133125349,49051074,984291,19376209,288253630,294930236,276329342,18600894,6676606,42722233,46.18,0.34,17.02,6.72,,,
106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,2021,108666599,19900409,128567008,52431892,828265,26165357,286192567,268122491,265143392,2979099,-18070076,7851130,44.92,0.29,18.32,9.14,-3.42,-15.85,-9.09
106190529,USC ARCADIA HOSPITAL,2023,126290821,23106034,149396855,58507151,1401678,28320296,346498633,288453828,282456554,5997274,-58044805,-39987719,43.12,0.4,16.89,8.17,16.2,69.23,7.58
106190529,USC ARCADIA HOSPITAL,2024,140218378,25055652,165274030,63035848,1192161,22466039,372654176,328121480,321839258,6282222,-44532696,-27375453,44.35,0.32,16.92,6.03,10.63,-14.95,13.75
106190534,OLYMPIA MEDICAL CENTER,2020,32114308,9700588,41814896,12022574,1094114,897763,84867960,84349038,75790973,8558065,-518922,869004,49.27,1.29,14.17,1.06,,,
106190541,MONROVIA MEMORIAL HOSPITAL,2020,9596934,1400995,10997929,2309624,143846,434286,17157734,15782956,15782956,0,-1374778,-1374778,64.1,0.84,13.46,2.53,,,
106190541,MONROVIA MEMORIAL HOSPITAL,2021,9125615,1391584,10517199,2198338,161436,93732,16337304,15184292,15184292,0,-1153012,5045101,64.38,0.99,13.46,0.57,-4.37,12.23,-3.79
106190541,MONROVIA MEMORIAL HOSPITAL,2022,9586635,1432336,11018971,2433323,161456,335720,17579780,18011455,18011455,0,431675,2096258,62.68,0.92,13.84,1.91,4.77,0.01,18.62
106190541,MONROVIA MEMORIAL HOSPITAL,2023,10071670,1278049,11349719,3016088,187213,0,20037295,21190332,21190332,0,1153037,4168824,56.64,0.93,15.05,0.0,3.0,15.95,17.65
106190541,MONROVIA MEMORIAL HOSPITAL,2024,11707793,1773237,13481030,3970597,68504,820263,23251242,25605043,25605043,0,2353801,2431376,57.98,0.29,17.08,3.53,18.78,-63.41,20.83
106190547,MONTEREY PARK HOSPITAL,2020,27620422,9311640,36932062,8392212,804090,512685,86031681,96674204,96471232,202972,10642523,13179743,42.93,0.93,9.75,0.6,,,
